director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Roseanne Liang,Chloë Grace Moretz,Taylor John Smith,Beulah Koale,Horror Action War,shadow in the cloud,Chloë Grace Moretz Taylor John Smith Beulah Koale Roseanne Liang Horror Action War
Ramin Bahrani,Adarsh Gourav,Rajkummar Rao,Priyanka Chopra Jonas,Drama,the white tiger,Adarsh Gourav Rajkummar Rao Priyanka Chopra Jonas Ramin Bahrani Drama
Doug Liman,Anne Hathaway,Chiwetel Ejiofor,Stephen Merchant,Comedy Crime Drama,locked down,Anne Hathaway Chiwetel Ejiofor Stephen Merchant Doug Liman Comedy Crime Drama
Simon Stone,Carey Mulligan,Ralph Fiennes,Lily James,Drama History,the dig,Carey Mulligan Ralph Fiennes Lily James Simon Stone Drama History
Mikael Håfström,Anthony Mackie,Damson Idris,Emily Beecham,Thriller Action Science Fiction,outside the wire,Anthony Mackie Damson Idris Emily Beecham Mikael Håfström Thriller Action Science Fiction
Robert Lorenz,Liam Neeson,Katheryn Winnick,Juan Pablo Raba,Action Thriller,the marksman,Liam Neeson Katheryn Winnick Juan Pablo Raba Robert Lorenz Action Thriller
Bennett Lasseter,Keean Johnson,Madeline Brewer,Rya Kihlstedt,Drama Music,the ultimate playlist of noise,Keean Johnson Madeline Brewer Rya Kihlstedt Bennett Lasseter Drama Music
Nate Parker,Nate Parker,Omari Hardwick,Theo Rossi,Crime Drama,american skin,Nate Parker Omari Hardwick Theo Rossi Nate Parker Crime Drama
Alex McAulay,Jack Dylan Grazer,Fionn Whitehead,Rainn Wilson,Crime,don't tell a soul,Jack Dylan Grazer Fionn Whitehead Rainn Wilson Alex McAulay Crime
Gabriela Cowperthwaite,Jason Segel,Dakota Johnson,Casey Affleck,Drama Romance,our friend,Jason Segel Dakota Johnson Casey Affleck Gabriela Cowperthwaite Drama Romance
Conor Allyn,Jake Allyn,Frank Grillo,Jorge A. Jiménez,Drama Action History,no man's land,Jake Allyn Frank Grillo Jorge A. Jiménez Conor Allyn Drama Action History
Alex Ranarivelo,Sean Patrick Flanery,Dennis Quaid,Katrina Bowden,Action Drama,born a champion,Sean Patrick Flanery Dennis Quaid Katrina Bowden Alex Ranarivelo Action Drama
Mike P. Nelson,Charlotte Vega,Adain Bradley,Bill Sage,Horror Thriller,wrong turn,Charlotte Vega Adain Bradley Bill Sage Mike P. Nelson Horror Thriller
Glenda Ivin,Naomi Watts,Andrew Lincoln,Jacki Weaver,Drama,penguin bloom,Naomi Watts Andrew Lincoln Jacki Weaver Glenda Ivin Drama
John Lee Hancock,Denzel Washington,Rami Malek,Jared Leto,Thriller Crime Drama,the little things,Denzel Washington Rami Malek Jared Leto John Lee Hancock Thriller Crime Drama
Chloé Zhao,Frances McDormand,David Strathairn,Linda May,Drama,nomadland,Frances McDormand David Strathairn Linda May Chloé Zhao Drama
Fisher Stevens,Justin Timberlake,Juno Temple,Alisha Wainwright,Drama,palmer,Justin Timberlake Juno Temple Alisha Wainwright Fisher Stevens Drama
Viggo Mortensen,Viggo Mortensen,Lance Henriksen,Terry Chen,Crime Drama Thriller,falling,Viggo Mortensen Lance Henriksen Terry Chen Viggo Mortensen Crime Drama Thriller
Chad Hartigan,Olivia Cooke,Jack O'Connell,Raúl Castillo,Romance Science Fiction Drama,little fish,Olivia Cooke Jack O'Connell Raúl Castillo Chad Hartigan Romance Science Fiction Drama
Barry Alexander Brown,Lucas Till,Lucy Hale,Cedric the Entertainer,History Drama,son of the south,Lucas Till Lucy Hale Cedric the Entertainer Barry Alexander Brown History Drama
Ben Hozie,Julia Fox,Nikki Belfiglio,Austin Brown,Drama,pvt chat,Julia Fox Nikki Belfiglio Austin Brown Ben Hozie Drama
Sia,Kate Hudson,Leslie Odom Jr.,Maddie Ziegler,Music Drama,music,Kate Hudson Leslie Odom Jr. Maddie Ziegler Sia Music Drama
